bus number,active power load (pu),reactive power load (pu),voltage base
1,0.0275,0.0145,24.9
2,0.0275,0.0145,24.9
3,0.008,0.004,24.9
4,0,0,24.9
5,0,0,24.9
6,0.45,0.225,4.16
7,0.051,0.0255,24.9
8,0.0245,0.012,24.9
9,0.255,0.1305,24.9
10,0.2025,0.105,24.9
11,0.0055,0.0025,24.9
12,0.0485,0.0215,24.9
13,0.002,0.001,24.9
14,0.0245,0.0125,24.9
15,0.174,0.106,24.9
16,0.0045,0.0025,24.9
17,0.047,0.031,24.9
18,0.014,0.007,24.9
19,0.432,0.029,24.9
20,0.034,0.017,24.9
21,0.0715,-0.3965,24.9
22,0.0025,0.001,24.9
23,0.0075,0.0035,24.9
24,0.061,0.0315,24.9
25,0.003,0.0015,24.9
26,0.089,0.045,24.9
27,0,0,4.16
28,0.024,0.012,24.9
29,0.06,0.03,24.9
30,0.006,0.003,24.9
31,0.042,0.021,24.9
32,0,0,24.9
